[2020-08-08T09:47:16.011] [INFO] default - item A01080A monthdata done
[2020-08-08T09:47:22.675] [INFO] default - item A0109 data_index done
[2020-08-08T09:47:46.468] [INFO] default - item A0109 monthdata done
[2020-08-08T09:47:53.332] [INFO] default - item A010A data_index done
[2020-08-08T09:48:07.134] [INFO] default - item A010A monthdata done
[2020-08-08T09:48:10.916] [INFO] default - item A010B data_index done
[2020-08-08T09:49:29.442] [INFO] default - item A010B monthdata done
[2020-08-08T09:49:29.940] [INFO] default - item A010C01 data_index done
[2020-08-08T09:49:30.737] [INFO] default - item A010C01 monthdata done
[2020-08-08T09:49:31.006] [INFO] default - item A010C02 data_index done
[2020-08-08T09:49:31.716] [INFO] default - item A010C02 monthdata done
[2020-08-08T09:49:32.411] [INFO] default - item A010C03 data_index done
[2020-08-08T09:49:33.478] [INFO] default - item A010C03 monthdata done
[2020-08-08T09:49:33.848] [INFO] default - item A010C04 data_index done
[2020-08-08T09:49:34.654] [INFO] default - item A010C04 monthdata done
[2020-08-08T09:49:35.131] [INFO] default - item A010C05 data_index done
[2020-08-08T09:49:36.466] [INFO] default - item A010C05 monthdata done
[2020-08-08T09:49:39.794] [INFO] default - item A010C06 data_index done
[2020-08-08T09:49:40.599] [INFO] default - item A010C06 monthdata done
[2020-08-08T09:49:42.262] [INFO] default - item A010C07 data_index done
[2020-08-08T09:49:45.508] [INFO] default - item A010C07 monthdata done
[2020-08-08T09:49:46.181] [INFO] default - item A010C08 data_index done
[2020-08-08T09:49:48.318] [INFO] default - item A010C08 monthdata done
[2020-08-08T09:49:48.672] [INFO] default - item A010C09 data_index done
[2020-08-08T09:49:49.612] [INFO] default - item A010C09 monthdata done
[2020-08-08T09:49:50.001] [INFO] default - item A010C0A data_index done
[2020-08-08T09:49:50.883] [INFO] default - item A010C0A monthdata done
[2020-08-08T09:49:51.689] [INFO] default - item A010C0B data_index done
[2020-08-08T09:49:53.866] [INFO] default - item A010C0B monthdata done
[2020-08-08T09:49:57.355] [INFO] default - item A010C0C data_index done
[2020-08-08T09:49:59.770] [INFO] default - item A010C0C monthdata done
[2020-08-08T09:50:00.685] [INFO] default - item A010C0D data_index done
[2020-08-08T09:50:02.141] [INFO] default - item A010C0D monthdata done
[2020-08-08T09:50:02.672] [INFO] default - item A010C0E data_index done
[2020-08-08T09:50:03.808] [INFO] default - item A010C0E monthdata done
[2020-08-08T09:50:04.331] [INFO] default - item A010C0F data_index done
[2020-08-08T09:50:05.916] [INFO] default - item A010C0F monthdata done
[2020-08-08T09:50:06.247] [INFO] default - item A010C0G data_index done
[2020-08-08T09:50:07.157] [INFO] default - item A010C0G monthdata done
[2020-08-08T09:50:07.576] [INFO] default - item A010C0H data_index done
[2020-08-08T09:50:08.415] [INFO] default - item A010C0H monthdata done
[2020-08-08T09:50:09.039] [INFO] default - item A010C0I data_index done
[2020-08-08T09:50:11.049] [INFO] default - item A010C0I monthdata done
[2020-08-08T09:50:11.314] [INFO] default - item A010C0J data_index done
[2020-08-08T09:50:11.916] [INFO] default - item A010C0J monthdata done
[2020-08-08T09:50:12.730] [INFO] default - item A010C0K data_index done
[2020-08-08T09:50:15.074] [INFO] default - item A010C0K monthdata done
[2020-08-08T09:50:15.747] [INFO] default - item A010C0L data_index done
[2020-08-08T09:50:17.791] [INFO] default - item A010C0L monthdata done
[2020-08-08T09:50:18.142] [INFO] default - item A010C0M data_index done
[2020-08-08T09:50:18.674] [INFO] default - item A010C0M monthdata done
[2020-08-08T09:50:18.934] [INFO] default - item A010C0N data_index done
[2020-08-08T09:50:19.499] [INFO] default - item A010C0N monthdata done
